Repository,Organization,License Status,Private/Public,License,Notes
fhir-import-deprecated,Ferlab-Ste-Justine,Archived,Public,,
landing,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **landing** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-gene-panel,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-gene-panel** in Ferlab-Ste-Justine is private and is being skipped.
clin-etl-FHIR,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-etl-FHIR** in Ferlab-Ste-Justine is private and is being skipped.
circare,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **circare** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
coding-challenge-backend-service,Ferlab-Ste-Justine,Valid License,Public,GNU Affero General Public License v3.0,Repository **coding-challenge-backend-service** in Ferlab-Ste-Justine has a valid license: GNU Affero General Public License v3.0
clin-geneset-etl,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-geneset-etl** in Ferlab-Ste-Justine is private and is being skipped.
SONG-deprecated,Ferlab-Ste-Justine,Archived,Public,,
score-deprecated,Ferlab-Ste-Justine,Archived,Public,,
overture-dev-deprecated,Ferlab-Ste-Justine,Archived,Public,,
song-auth-deprecated,Ferlab-Ste-Justine,Archived,Public,,
ui-components,Ferlab-Ste-Justine,Valid License,Public,GNU General Public License v3.0,Repository **ui-components** in Ferlab-Ste-Justine has a valid license: GNU General Public License v3.0
node-functional-utils,Ferlab-Ste-Justine,Valid License,Public,GNU General Public License v3.0,Repository **node-functional-utils** in Ferlab-Ste-Justine has a valid license: GNU General Public License v3.0
node-jwt,Ferlab-Ste-Justine,Valid License,Public,GNU General Public License v3.0,Repository **node-jwt** in Ferlab-Ste-Justine has a valid license: GNU General Public License v3.0
node-configs,Ferlab-Ste-Justine,Valid License,Public,GNU General Public License v3.0,Repository **node-configs** in Ferlab-Ste-Justine has a valid license: GNU General Public License v3.0
score-auth-deprecated,Ferlab-Ste-Justine,Archived,Public,,
dcc-id,Ferlab-Ste-Justine,Unrecognized License,Public,Unrecognized,Repository **dcc-id** in Ferlab-Ste-Justine has an unrecognized license: other
overture-id-service-deprecated,Ferlab-Ste-Justine,Archived,Public,,
clin-overture-client-deprecated,Ferlab-Ste-Justine,Archived,Private,,
clin-overture-schemas,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-overture-schemas** in Ferlab-Ste-Justine is private and is being skipped.
overture-dev-clin-deprecated,Ferlab-Ste-Justine,Archived,Private,,
overture-python-sdk-deprecated,Ferlab-Ste-Justine,Archived,Public,,
DockerFiles,Ferlab-Ste-Justine,Valid License,Public,MIT License,Repository **DockerFiles** in Ferlab-Ste-Justine has a valid license: MIT License
song-metadata-resolver-deprecated,Ferlab-Ste-Justine,Archived,Public,,
cqdg-website,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-website** in Ferlab-Ste-Justine is private and is being skipped.
clin-external-proxy-deprecated,Ferlab-Ste-Justine,Archived,Private,,
collab-infra-deprecated,Ferlab-Ste-Justine,Archived,Public,,
kf-zeppelin,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kf-zeppelin** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-environments-deprecated,Ferlab-Ste-Justine,Archived,Public,,
cqdg-project,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-project** in Ferlab-Ste-Justine is private and is being skipped.
openstack-bastion,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **openstack-bastion** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-null-kubernetes-installation,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-null-kubernetes-installation** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-infra-provisioning,Ferlab-Ste-Justine,Archived,Private,,
openstack-kubernetes-cluster,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **openstack-kubernetes-cluster** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
openstack-postgres-standalone,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **openstack-postgres-standalone** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-FHIR,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-FHIR** in Ferlab-Ste-Justine is private and is being skipped.
kubernetes-infrastructure-configuration,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kubernetes-infrastructure-configuration** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
k8-generic-orchestrations,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **k8-generic-orchestrations** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-pre-prod-kubernetes-environments,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-pre-prod-kubernetes-environments** in Ferlab-Ste-Justine is private and is being skipped.
ncpi-fhir-utility,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ncpi-fhir-utility** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-fhir-server,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-fhir-server** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-docs,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-docs** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-dictionary,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-dictionary** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-secrets-deprecated,Ferlab-Ste-Justine,Archived,Private,,
clin-keycloak-theme,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-keycloak-theme** in Ferlab-Ste-Justine is private and is being skipped.
clin-hapi-fhir-jpaserver,Ferlab-Ste-Justine,Archived,Public,,
terraform-openstack-mongodb-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-mongodb-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-variant-etl,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-variant-etl** in Ferlab-Ste-Justine is private and is being skipped.
terraform-openstack-zonefile,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-zonefile** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
openstack-coredns,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **openstack-coredns** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
lectern,Ferlab-Ste-Justine,Valid License,Public,GNU Affero General Public License v3.0,Repository **lectern** in Ferlab-Ste-Justine has a valid license: GNU Affero General Public License v3.0
kf-ant-design-system,Ferlab-Ste-Justine,Archived,Public,,
openstack-elasticsearch-cluster,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **openstack-elasticsearch-cluster** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-etl-indexer,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-etl-indexer** in Ferlab-Ste-Justine is private and is being skipped.
obo-parser,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **obo-parser** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-hpo-etl,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-hpo-etl** in Ferlab-Ste-Justine is private and is being skipped.
action-push-image,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **action-push-image** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
kubernetes-cd-deprecated,Ferlab-Ste-Justine,Archived,Private,,
clin-environments,Ferlab-Ste-Justine,Archived,Public,,
git-autosync,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **git-autosync** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-etl,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-etl** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-etl-indexer,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-etl-indexer** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-portal-ui-deprecated,Ferlab-Ste-Justine,Archived,Public,,
spark-images,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **spark-images** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-fhir-etl,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-fhir-etl** in Ferlab-Ste-Justine is private and is being skipped.
s3-transfer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **s3-transfer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ferlab-ui,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferlab-ui** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
big-data-interview,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **big-data-interview** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-pipelines,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-pipelines** in Ferlab-Ste-Justine is private and is being skipped.
clin-pipelines-dags,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **clin-pipelines-dags** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
poc-univers-informationnel,Ferlab-Ste-Justine,Private,Private,Private,Repository **poc-univers-informationnel** in Ferlab-Ste-Justine is private and is being skipped.
action-commit-lint,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **action-commit-lint** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-files,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-files** in Ferlab-Ste-Justine is private and is being skipped.
unic-etl,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-etl** in Ferlab-Ste-Justine is private and is being skipped.
arranger,Ferlab-Ste-Justine,Valid License,Public,GNU Affero General Public License v3.0,Repository **arranger** in Ferlab-Ste-Justine has a valid license: GNU Affero General Public License v3.0
openstack-zeppelin,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **openstack-zeppelin** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-tls-kubernetes-certificates,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-tls-kubernetes-certificates** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
fhir-console,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **fhir-console** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-arranger,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-arranger** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-portal,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-portal** in Ferlab-Ste-Justine is private and is being skipped.
etl-lineage,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **etl-lineage** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-dags,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **cqdg-dags** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
backup-docker-images,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **backup-docker-images** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-keycloak,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-keycloak** in Ferlab-Ste-Justine is private and is being skipped.
clin-keycloak-configs,Ferlab-Ste-Justine,Archived,Private,,
cqdg-keycloak-configs,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-keycloak-configs** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-clinical-data-service,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-clinical-data-service** in Ferlab-Ste-Justine is private and is being skipped.
build-images,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **build-images** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
id-service,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **id-service** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
datalake-lib,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **datalake-lib** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ferload,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferload** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-infra-etcd-ops,Ferlab-Ste-Justine,Archived,Private,,
datagrid-service,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **datagrid-service** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-infra-images,Ferlab-Ste-Justine,Archived,Private,,
cqdg-infra-postgres,Ferlab-Ste-Justine,Archived,Private,,
terraform-openstack-etcd-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-etcd-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-openstack-etcd-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-etcd-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
openstack-etcd-client-certificate,Ferlab-Ste-Justine,Archived,Public,,
cqdg-infra-dns-ops,Ferlab-Ste-Justine,Archived,Private,,
cqdg-infra-kubernetes,Ferlab-Ste-Justine,Archived,Private,,
cqdg-prod-kubernetes-environments,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-prod-kubernetes-environments** in Ferlab-Ste-Justine is private and is being skipped.
operational-documentation,Ferlab-Ste-Justine,Private,Private,Private,Repository **operational-documentation** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-infra-es,Ferlab-Ste-Justine,Archived,Private,,
cqdg-postgres-databases-configs,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-postgres-databases-configs** in Ferlab-Ste-Justine is private and is being skipped.
ferload-client-cli,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferload-client-cli** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-infra-secrets-retrieval,Ferlab-Ste-Justine,Archived,Private,,
cqdg-infra-mongodb,Ferlab-Ste-Justine,Archived,Private,,
unic-docs,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-docs** in Ferlab-Ste-Justine is private and is being skipped.
unic-iam,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-iam** in Ferlab-Ste-Justine is private and is being skipped.
ssh-tunnel-client,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ssh-tunnel-client** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
fhir-avro,Ferlab-Ste-Justine,Archived,Private,,
terraform-openstack-mongodb-security-groups,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-openstack-mongodb-security-groups** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-arranger,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-arranger** in Ferlab-Ste-Justine is private and is being skipped.
unic-hl7-connector,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-hl7-connector** in Ferlab-Ste-Justine is private and is being skipped.
zeppelin-oidc,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **zeppelin-oidc** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
fhavro,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **fhavro** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-provider-mongodb,Ferlab-Ste-Justine,Private,Private,Private,Repository **terraform-provider-mongodb** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-elasticsearch-configs,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-elasticsearch-configs** in Ferlab-Ste-Justine is private and is being skipped.
windows-vm,Ferlab-Ste-Justine,Private,Private,Private,Repository **windows-vm** in Ferlab-Ste-Justine is private and is being skipped.
clin-elasticsearch-configs,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-elasticsearch-configs** in Ferlab-Ste-Justine is private and is being skipped.
unic-dag,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **unic-dag** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
fhavro-rest-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **fhavro-rest-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ui-kubernetes-orchestration,Ferlab-Ste-Justine,Private,Private,Private,Repository **ui-kubernetes-orchestration** in Ferlab-Ste-Justine is private and is being skipped.
unic-jupyter,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-jupyter** in Ferlab-Ste-Justine is private and is being skipped.
terraform-kubectl-fluxcd-installation,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-kubectl-fluxcd-installation** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ui-infra-kubernetes,Ferlab-Ste-Justine,Archived,Private,,
airflow-image,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **airflow-image** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-provider-etcd,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-provider-etcd** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
csv-to-fhir,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **csv-to-fhir** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-ui,Ferlab-Ste-Justine,Archived,Public,,
terraform-etcd-zonefile,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-etcd-zonefile** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
coredns-auto-updater,Ferlab-Ste-Justine,Archived,Public,,
clin-switch,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-switch** in Ferlab-Ste-Justine is private and is being skipped.
cqgc-operational-documentation,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqgc-operational-documentation** in Ferlab-Ste-Justine is private and is being skipped.
cqgc-infra-baremetal,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqgc-infra-baremetal** in Ferlab-Ste-Justine is private and is being skipped.
terraform-libvirt-etcd-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-etcd-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-prescription-renderer,Ferlab-Ste-Justine,Archived,Public,,
terraform-libvirt-coredns-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-coredns-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-spark-operator,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-spark-operator** in Ferlab-Ste-Justine is private and is being skipped.
terraform-libvirt-bastion,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-bastion** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-kubernetes-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-kubernetes-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-kubernetes-node,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-kubernetes-node** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
csv-to-es,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **csv-to-es** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terracd,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terracd** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-provider-netaddr,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-provider-netaddr** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-ui-dev-proxy,Ferlab-Ste-Justine,Archived,Public,,
unic-data-profiling,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-data-profiling** in Ferlab-Ste-Justine is private and is being skipped.
terraform-libvirt-postgres-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-postgres-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
kvm-elasticsearch-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kvm-elasticsearch-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqgc-prod-kubernetes-environments,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqgc-prod-kubernetes-environments** in Ferlab-Ste-Justine is private and is being skipped.
cqgc-pre-prod-kubernetes-environments,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqgc-pre-prod-kubernetes-environments** in Ferlab-Ste-Justine is private and is being skipped.
cqgc-prod-service-configurations,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqgc-prod-service-configurations** in Ferlab-Ste-Justine is private and is being skipped.
cqgc-pre-prod-service-configurations,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqgc-pre-prod-service-configurations** in Ferlab-Ste-Justine is private and is being skipped.
kvm-zeppelin,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kvm-zeppelin** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ferlab-coredns,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ferlab-coredns** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-kubernetes-environments,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-kubernetes-environments** in Ferlab-Ste-Justine is private and is being skipped.
docker-maven-node,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **docker-maven-node** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-nfs-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-nfs-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
clin-portal-ui,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-portal-ui** in Ferlab-Ste-Justine is private and is being skipped.
terraform-kubernetes-fluxcd-bootstrap,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-kubernetes-fluxcd-bootstrap** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
fluentd-docker-image,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **fluentd-docker-image** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-spark,Ferlab-Ste-Justine,Archived,Private,,
users-api,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **users-api** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-postgres-load-balancer,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-postgres-load-balancer** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-fhir-server,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-fhir-server** in Ferlab-Ste-Justine is private and is being skipped.
clin-portal-forms,Ferlab-Ste-Justine,Private,Private,Private,Repository **clin-portal-forms** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-portal-ui,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-portal-ui** in Ferlab-Ste-Justine is private and is being skipped.
cqdg-etcd-configs,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-etcd-configs** in Ferlab-Ste-Justine is private and is being skipped.
configurations-auto-updater,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **configurations-auto-updater** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
ghaction-import-gpg,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **ghaction-import-gpg** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
api-portal-reports,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **api-portal-reports** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
terraform-libvirt-prometheus-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-prometheus-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
prometheus-libvirt-exporter,Ferlab-Ste-Justine,Valid License,Public,MIT License,Repository **prometheus-libvirt-exporter** in Ferlab-Ste-Justine has a valid license: MIT License
fe-config-husky,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **fe-config-husky** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
unic-report,Ferlab-Ste-Justine,Private,Private,Private,Repository **unic-report** in Ferlab-Ste-Justine is private and is being skipped.
airflow,Ferlab-Ste-Justine,Private,Private,Private,Repository **airflow** in Ferlab-Ste-Justine is private and is being skipped.
terraform-tls-client-certificate,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-tls-client-certificate** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-fhir-import,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-fhir-import** in Ferlab-Ste-Justine is private and is being skipped.
terraform-libvirt-opensearch-server,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **terraform-libvirt-opensearch-server** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
kubernetes-client-config,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **kubernetes-client-config** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
cqdg-api-arranger,Ferlab-Ste-Justine,Private,Private,Private,Repository **cqdg-api-arranger** in Ferlab-Ste-Justine is private and is being skipped.
etl-cqdg-portal,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **etl-cqdg-portal** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
varsome-proxy,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **varsome-proxy** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
vm-image-builds,Ferlab-Ste-Justine,Valid License,Public,Apache License 2.0,Repository **vm-image-builds** in Ferlab-Ste-Justine has a valid license: Apache License 2.0
